Date,P/E
1-Jan-20,28.33
2-Jan-20,28.56
3-Jan-20,28.44
6-Jan-20,27.89
7-Jan-20,28.03
8-Jan-20,27.97
9-Jan-20,28.41
10-Jan-20,28.51
13-Jan-20,28.67
14-Jan-20,28.67
15-Jan-20,28.63
16-Jan-20,28.62
17-Jan-20,28.61
20-Jan-20,28
21-Jan-20,27.84
22-Jan-20,27.73
23-Jan-20,27.88
24-Jan-20,28.1
27-Jan-20,27.73
28-Jan-20,26.65
29-Jan-20,26.81
30-Jan-20,26.57
31-Jan-20,26.41
1-Feb-20,25.75
3-Feb-20,25.9
4-Feb-20,26.57
5-Feb-20,27.05
6-Feb-20,27.16
7-Feb-20,27.03
10-Feb-20,26.89
11-Feb-20,27.21
12-Feb-20,27.65
13-Feb-20,27.59
14-Feb-20,27.45
17-Feb-20,27.42
18-Feb-20,27.29
19-Feb-20,27.6
20-Feb-20,27.5
24-Feb-20,26.92
25-Feb-20,26.85
26-Feb-20,26.58
27-Feb-20,26.48
28-Feb-20,25.49
2-Mar-20,25.34
3-Mar-20,25.73
4-Mar-20,25.61
5-Mar-20,25.65
6-Mar-20,25.01
9-Mar-20,23.79
11-Mar-20,23.8
12-Mar-20,21.83
13-Mar-20,22.66
16-Mar-20,20.93
17-Mar-20,20.41
18-Mar-20,19.27
19-Mar-20,18.63
20-Mar-20,19.72
23-Mar-20,17.15
24-Mar-20,17.58
25-Mar-20,18.74
26-Mar-20,19.47
27-Mar-20,19.52
30-Mar-20,18.66
31-Mar-20,19.38
1-Apr-20,18.6
3-Apr-20,18.22
7-Apr-20,19.81
8-Apr-20,19.72
9-Apr-20,20.53
13-Apr-20,20.27
15-Apr-20,20.11
16-Apr-20,20.25
17-Apr-20,20.85
20-Apr-20,20.75
21-Apr-20,20.1
22-Apr-20,20.56
23-Apr-20,20.84
24-Apr-20,20.48
27-Apr-20,20.77
28-Apr-20,21
29-Apr-20,21.65
30-Apr-20,22.35
4-May-20,21.39
5-May-20,21.19
6-May-20,21.34
7-May-20,21.18
8-May-20,21.28
11-May-20,21.21
12-May-20,21.11
13-May-20,21.51
14-May-20,21
15-May-20,20.98
18-May-20,20.26
19-May-20,20.39
20-May-20,21.16
21-May-20,21.14
22-May-20,20.97
26-May-20,21.1
27-May-20,21.77
28-May-20,22.17
29-May-20,22.38
1-Jun-20,22.96
2-Jun-20,23.31
3-Jun-20,23.5
4-Jun-20,23.42
5-Jun-20,23.91
8-Jun-20,23.97
9-Jun-20,24.25
10-Jun-20,24.41
11-Jun-20,23.9
12-Jun-20,24.08
15-Jun-20,23.69
16-Jun-20,24.31
17-Jun-20,24.59
18-Jun-20,25.11
19-Jun-20,25.49
22-Jun-20,25.66
23-Jun-20,26.05
24-Jun-20,25.63
25-Jun-20,25.59
26-Jun-20,26.67
29-Jun-20,26.49
30-Jun-20,26.32
1-Jul-20,26.97
2-Jul-20,27.63
3-Jul-20,27.78
6-Jul-20,28.13
7-Jul-20,28.22
8-Jul-20,27.98
9-Jul-20,28.26
10-Jul-20,28.27
13-Jul-20,28.36
14-Jul-20,27.85
15-Jul-20,27.88
16-Jul-20,28.19
17-Jul-20,28.55
20-Jul-20,28.86
21-Jul-20,29.01
22-Jul-20,28.93
23-Jul-20,29.2
24-Jul-20,29.35
27-Jul-20,29.18
28-Jul-20,29.87
29-Jul-20,29.59
30-Jul-20,29.46
31-Jul-20,30.2
3-Aug-20,29.7
4-Aug-20,30.39
5-Aug-20,30.41
6-Aug-20,30.68
7-Aug-20,30.72
10-Aug-20,31.23
11-Aug-20,31.37
12-Aug-20,31.33
13-Aug-20,31.42
14-Aug-20,31.09
17-Aug-20,31.64
18-Aug-20,32.03
19-Aug-20,32.09
20-Aug-20,31.91
21-Aug-20,32.08
24-Aug-20,32.41
25-Aug-20,32.43
26-Aug-20,32.64
27-Aug-20,32.67
28-Aug-20,32.92
31-Aug-20,32.29
1-Sep-20,32.53
2-Sep-20,32.71
3-Sep-20,33.04
4-Sep-20,32.49
7-Sep-20,32.55
8-Sep-20,32.44
9-Sep-20,32.33
10-Sep-20,32.82
11-Sep-20,32.86
14-Sep-20,32.79
15-Sep-20,33.03
16-Sep-20,33.26
17-Sep-20,33.01
18-Sep-20,32.98
21-Sep-20,32.25
22-Sep-20,31.97
23-Sep-20,31.91
24-Sep-20,30.97
25-Sep-20,32.12
28-Sep-20,32.63
29-Sep-20,32.62
30-Sep-20,32.69
1-Oct-20,33.18
5-Oct-20,33.43
6-Oct-20,33.9
7-Oct-20,34.12
8-Oct-20,34.4
