Category,SubCategory,IndexName,SubCategory2,Condition
Equity,Broad Based Indices,Nifty 50,,
Equity,Broad Based Indices,Nifty Next 50,,
Equity,Broad Based Indices,Nifty 100,,
Equity,Broad Based Indices,Nifty 200,,
Equity,Broad Based Indices,Nifty Total Market,,
Equity,Broad Based Indices,Nifty 500,,
Equity,Broad Based Indices,Nifty500 Multicap 50:25:25,,
Equity,Broad Based Indices,Nifty Midcap150,,
Equity,Broad Based Indices,Nifty Midcap 50,,
Equity,Broad Based Indices,Nifty Midcap Select,,
Equity,Broad Based Indices,Nifty Midcap 100,,
Equity,Broad Based Indices,Nifty Smallcap 250,,
Equity,Broad Based Indices,Nifty Smallcap 50,,
Equity,Broad Based Indices,Nifty Smallcap 100,,
Equity,Broad Based Indices,Nifty Microcap 250,,
Equity,Broad Based Indices,Nifty LargeMidcap 250,,
Equity,Broad Based Indices,Nifty MidSmallcap 400,,
Equity,Sectoral Indices,Nifty Auto,,
Equity,Sectoral Indices,Nifty Bank,,
Equity,Sectoral Indices,Nifty Financial Services,,
Equity,Sectoral Indices,Nifty Financial Services 25/50,,
Equity,Sectoral Indices,Nifty Financial Services Ex Bank,,
Equity,Sectoral Indices,Nifty FMCG,,
Equity,Sectoral Indices,Nifty Healthcare,,
Equity,Sectoral Indices,Nifty IT,,
Equity,Sectoral Indices,Nifty Media,,
Equity,Sectoral Indices,Nifty Metal,,
Equity,Sectoral Indices,Nifty Pharma,,
Equity,Sectoral Indices,Nifty Private Bank,,
Equity,Sectoral Indices,Nifty PSU Bank,,
Equity,Sectoral Indices,Nifty Realty,,
Equity,Sectoral Indices,Nifty Consumer Durables,,
Equity,Sectoral Indices,Nifty Oil and Gas,,
Equity,Sectoral Indices,Nifty MidSmall Financial Services,,
Equity,Sectoral Indices,Nifty MidSmall Healthcare,,
Equity,Sectoral Indices,Nifty MidSmall IT & Telecom,,
Equity,Thematic Indices,Nifty Aditya Birla group,,
Equity,Thematic Indices,Nifty Commodities,,
Equity,Thematic Indices,Nifty CPSE,,
Equity,Thematic Indices,Nifty Energy,,
Equity,Thematic Indices,Nifty Housing,,
Equity,Thematic Indices,Nifty India Consumption,,
Equity,Thematic Indices,Nifty India Defence,,
Equity,Thematic Indices,Nifty India Digital,,
Equity,Thematic Indices,Nifty India Manufacturing,,
Equity,Thematic Indices,Nifty Infrastructure,,
Equity,Thematic Indices,Nifty Mahindra Group,,
Equity,Thematic Indices,Nifty Midcap Liquid 15,,
Equity,Thematic Indices,Nifty MidSmall India Consumption,,
Equity,Thematic Indices,Nifty MNC,,
Equity,Thematic Indices,Nifty Mobility,,
Equity,Thematic Indices,Nifty PSE,,
Equity,Thematic Indices,Nifty Non-Cyclical Consumer,,
Equity,Thematic Indices,Nifty Services Sector,,
Equity,Thematic Indices,Nifty Shariah 25,,
Equity,Thematic Indices,Nifty Tata group,,
Equity,Thematic Indices,Nifty Tata group 25% Cap,,
Equity,Thematic Indices,Nifty Transportation & Logistics,,
Equity,Thematic Indices,Nifty100 Liquid 15,,
Equity,Thematic Indices,Nifty50 Shariah,,
Equity,Thematic Indices,Nifty500 Shariah,,
Equity,Thematic Indices,Nifty SME Emerge,,
Equity,Thematic Indices,Nifty100 ESG,,
Equity,Thematic Indices,Nifty100 Enhanced ESG,,
Equity,Thematic Indices,Nifty100 ESG Sector Leaders,,
Equity,Strategy Indices,Nifty100 Equal Weight,,
Equity,Strategy Indices,Nifty100 Low Volatility 30,,
Equity,Strategy Indices,Nifty 50 Arbitrage,,
Equity,Strategy Indices,Nifty 50 Futures PR,,
Equity,Strategy Indices,Nifty 50 Futures TR,,
Equity,Strategy Indices,Nifty200 Momentum 30,,
Equity,Strategy Indices,Nifty200 Alpha 30,,
Equity,Strategy Indices,Nifty100 Alpha 30,,
Equity,Strategy Indices,Nifty Alpha 50,,
Equity,Strategy Indices,Nifty Alpha Low Volatility 30,,
Equity,Strategy Indices,Nifty Alpha Quality Low Volatility 30,,
Equity,Strategy Indices,Nifty Alpha Quality Value Low Volatility 30,,
Equity,Strategy Indices,Nifty Dividend Opportunities 50,,
Equity,Strategy Indices,Nifty Growth Sectors 15,,
Equity,Strategy Indices,Nifty High Beta 50,,
Equity,Strategy Indices,Nifty Low Volatility 50,,
Equity,Strategy Indices,Nifty100 Quality 30,,
Equity,Strategy Indices,Nifty Midcap150 Momentum 50,,
Equity,Strategy Indices,Nifty Midcap150 Quality 50,,
Equity,Strategy Indices,Nifty Smallcap250 Quality 50,,
Equity,Strategy Indices,Nifty Quality Low Volatility 30,,
Equity,Strategy Indices,Nifty50 Dividend Points,,
Equity,Strategy Indices,Nifty50 Equal Weight,,
Equity,Strategy Indices,Nifty50 PR 1x Inverse,,
Equity,Strategy Indices,Nifty50 PR 2x Leverage,,
Equity,Strategy Indices,Nifty50 TR 1x Inverse,,
Equity,Strategy Indices,Nifty50 TR 2x Leverage,,
Equity,Strategy Indices,Nifty50 USD,,
Equity,Strategy Indices,Nifty50 Value 20,,
Equity,Strategy Indices,Nifty500 Value 50,,
Equity,Strategy Indices,Nifty200 Quality 30,,
Equity,Strategy Indices,Nifty50 & Short Duration Debt – Dynamic P/B,,
Equity,Strategy Indices,Nifty50 & Short Duration Debt – Dynamic P/E,,
Equity,Strategy Indices,Nifty Equity Savings,,
Fixed Income,G-Sec Indices,Nifty Ultra Short Duration G-Sec Index,Duration,
Fixed Income,G-Sec Indices,Nifty Low Duration G-Sec Index,Duration,
Fixed Income,G-Sec Indices,Nifty Short Duration G-Sec Index,Duration,
Fixed Income,G-Sec Indices,Nifty Medium Duration G-Sec Index,Duration,
Fixed Income,G-Sec Indices,Nifty Medium to Long Duration G-Sec Index,Duration,
Fixed Income,G-Sec Indices,Nifty Long Duration G-Sec Index,Duration,
Fixed Income,G-Sec Indices,Nifty 8-13 yr G-Sec,Maturity,
Fixed Income,G-Sec Indices,Nifty 10 yr Benchmark G-Sec,Maturity,
Fixed Income,G-Sec Indices,Nifty 10 yr Benchmark G-Sec (Clean Price),Maturity,
Fixed Income,G-Sec Indices,Nifty 4-8 yr G-Sec,Maturity,
Fixed Income,G-Sec Indices,Nifty 11-15 yr G-Sec,Maturity,
Fixed Income,G-Sec Indices,Nifty 15 yr and above G-Sec,Maturity,
Fixed Income,G-Sec Indices,Nifty Composite G-Sec,Maturity,
Fixed Income,G-Sec Indices,Nifty 5 yr Benchmark G-Sec,Maturity,
Fixed Income,G-Sec Indices,Nifty India Select 7 Government Bond (INR),Maturity,
Fixed Income,G-Sec Indices,Nifty India Select 7 Government Bond (USD),Maturity,
Fixed Income,Sovereign Green Bond Indices,Nifty India Sovereign Green Bond Jan 2033,,Ignore for Viz
Fixed Income,Sovereign Green Bond Indices,Nifty India Sovereign Green Bond Jan 2028,,Ignore for Viz
Fixed Income,SDL Indices,Nifty 10 Year SDL,,
Fixed Income,Corporate Bond Indices,Nifty AAA Corporate Bond Indices,,
Fixed Income,Corporate Bond Indices,Nifty AA Category Corporate Bond Indices,,
Fixed Income,Corporate Bond Indices,Nifty AA+ Corporate Bond Indices,,
Fixed Income,Corporate Bond Indices,Nifty AA Corporate Bond Indices,,
Fixed Income,Corporate Bond Indices,Nifty AA- Corporate Bond Indices,,
Fixed Income,Corporate Bond Indices,Nifty A Corporate Bond Indices,,
Fixed Income,Corporate Bond Indices,Nifty Banking & PSU Bond Indices,,
Fixed Income,Municipal Bond Indices,Nifty India Municipal Bond,,Ignore for Viz
Fixed Income,Money Market Indices,Certificate Of Deposit Indices,,Ignore for Viz
Fixed Income,Money Market Indices,Commercial Papers Indices,,
Fixed Income,Money Market Indices,T-Bills Series,,
Fixed Income,Money Market Indices,Nifty 1D Rate,,
Fixed Income,Aggregate Indices,Nifty Fixed Income Aggregate Indices,,
